Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015796494.1	chondroitin sulfate synthase 1	chsy1	CHSY3
XP_015796496.1	RNA-binding protein 24-like	LOC107372810	RBM24
XP_015796496.1	RNA-binding protein 24-like	LOC107372810	RBM38
XP_015796497.1	developmentally-regulated GTP-binding protein 1	drg1	DRG1
XP_015796505.1	uncharacterized protein C11orf96 homolog	LOC107372816	C11orf96
XP_015796506.1	stAR-related lipid transfer protein 7, mitochondrial	stard7	STARD7
XP_015796507.1	apoptosis regulator BAX-like	LOC107372818	BAK1
XP_015796509.1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	LOC107372821	PLOD3
XP_015796511.1	SH2B adapter protein 1-like isoform X2	LOC107372822	SH2B1
XP_015796514.1	sodium-dependent phosphate transporter 1-B-like	LOC107372824	SLC20A1
XP_015796516.1	RBBP8 N-terminal-like protein isoform X1	LOC107372827	RBBP8NL
XP_015796520.1	15 kDa selenoprotein	LOC107372830	SELENOF
XP_015796524.1	signaling lymphocytic activation molecule-like	LOC107372835	CD84
XP_015796524.1	signaling lymphocytic activation molecule-like	LOC107372835	SLAMF8
XP_015796524.1	signaling lymphocytic activation molecule-like	LOC107372835	CD244
XP_015796526.1	leukotriene A-4 hydrolase	lta4h	LTA4H
XP_015796526.1	leukotriene A-4 hydrolase	lta4h	RNPEP
XP_015796527.1	serine/threonine-protein kinase NLK	LOC107372837	NLK
XP_015796529.1	voltage-dependent T-type calcium channel subunit alpha-1I-like isoform X2	LOC107372838	CACNA1I
XP_015796529.1	voltage-dependent T-type calcium channel subunit alpha-1I-like isoform X2	LOC107372838	CACNA1H
XP_015796533.1	leukocyte elastase inhibitor-like isoform X2	LOC107372840	SERPINB5
XP_015796533.1	leukocyte elastase inhibitor-like isoform X2	LOC107372840	SERPINA5
XP_015796536.1	inaD-like protein	LOC107372843	PATJ
XP_015796537.1	pachytene checkpoint protein 2 homolog	LOC107372844	TRIP13
XP_015796538.1	CST complex subunit CTC1-like isoform X1	LOC107372847	CTC1
XP_015796539.1	CST complex subunit CTC1-like isoform X2	LOC107372847	CTC1
XP_015796541.1	WAS/WASL-interacting protein family member 2-like	LOC107372850	WIPF2
XP_015796542.1	prenylcysteine oxidase 1	pcyox1	PCYOX1
XP_015796543.1	cilia- and flagella-associated protein 46-like	LOC107372853	CFAP46
XP_015796546.1	vascular cell adhesion protein 1-like	LOC107372856	ICAM3
XP_015796550.1	germ cell-less protein-like 1	gmcl1	GMCL1
XP_015796550.1	germ cell-less protein-like 1	gmcl1	GMCL2
XP_015796550.1	germ cell-less protein-like 1	gmcl1	BTBD16
XP_015796552.1	T-cell surface glycoprotein CD3 epsilon chain	cd3e	CD3E
XP_015796553.1	T-cell surface glycoprotein CD3 delta chain-like	LOC107372866	CD3G
XP_015796553.1	T-cell surface glycoprotein CD3 delta chain-like	LOC107372866	CD3D
XP_015796554.1	transmembrane protein 25	tmem25	TMEM25
XP_015796555.1	uncharacterized protein KIAA0930 homolog	LOC107372868	KIAA0930
XP_015796556.1	28S ribosomal protein S26, mitochondrial	mrps26	MRPS26
XP_015796558.1	protein FAM136A	fam136a	FAM136A
XP_015796559.1	sodium channel protein type 4 subunit alpha-like	LOC107372873	SCN2A
XP_015796561.1	cilia- and flagella-associated protein 44-like	LOC107372875	CFAP44
XP_015796564.1	ras-related and estrogen-regulated growth inhibitor-like protein	rergl	RERGL
XP_015796566.1	transmembrane protein 235-like isoform X1	LOC107372881	TMEM235
XP_015796567.1	transmembrane protein 235-like isoform X2	LOC107372881	TMEM235
XP_015796567.1	transmembrane protein 235-like isoform X2	LOC107372881	TMEM114
XP_015796568.1	vitamin K-dependent gamma-carboxylase	ggcx	GGCX
XP_015796569.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372882	ZNF865
XP_015796569.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372882	ZNF595
XP_015796569.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372882	ZNF555
XP_015796571.1	F-box only protein 33	fbxo33	FBXO33
XP_015796575.1	sorting nexin-24	snx24	SNX22
XP_015796575.1	sorting nexin-24	snx24	SNX24
XP_015796580.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372898	ZNF775
XP_015796580.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372898	ZNF398
XP_015796580.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372898	ZNF563
XP_015796582.1	FAS-associated death domain protein-like	LOC107372902	FADD
XP_015796584.1	protein-lysine 6-oxidase-like	LOC107372900	LOX
XP_015796588.1	cilia- and flagella-associated protein 46-like	LOC107372908	CFAP46
XP_015796589.1	gastrula zinc finger protein XlCGF17.1-like	LOC107372909	ZFP69
XP_015796590.1	E3 SUMO-protein ligase PIAS2-like	LOC107372910	PIAS2
XP_015796593.1	eosinophil peroxidase-like	LOC107372911	MPO
XP_015796593.1	eosinophil peroxidase-like	LOC107372911	LPO
XP_015796593.1	eosinophil peroxidase-like	LOC107372911	EPX
XP_015796594.1	nuclear pore complex protein Nup50	nup50	NUP50
XP_015796597.1	arrestin red cell isoform 2-like	LOC107372916	ARRB2
XP_015796598.1	olfactory receptor 13C2-like	LOC107372917	DAPL1
XP_015796600.1	protein Red	ik	IK
XP_015796601.1	transmembrane protein 182-like	LOC107397113	TMEM182
XP_015796602.1	rab proteins geranylgeranyltransferase component A 2-like	LOC107372921	CHML
XP_015796602.1	rab proteins geranylgeranyltransferase component A 2-like	LOC107372921	CHM
XP_015796603.1	cytosolic 10-formyltetrahydrofolate dehydrogenase-like	LOC107372922	ALDH1L1
XP_015796606.1	116 kDa U5 small nuclear ribonucleoprotein component	LOC107372924	EFTUD2
XP_015796607.1	sororin	cdca5	CDCA5
XP_015796608.1	proteasome subunit beta type-2	psmb2	PSMB2
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF600
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF28
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF780A
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF184
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF83
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF611
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF726
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF823
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF579
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF761
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF888
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF676
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	ZNF347
XP_015796609.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372927	FIZ1
XP_015796611.1	cyclin-dependent kinase 14-like	LOC107372930	CDK14
XP_015796617.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372936	ZNF43
XP_015796617.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372936	ZNF28
XP_015796627.1	cyclin-J-like	LOC107372948	CCNJ
XP_015796629.1	leucine-rich repeat-containing protein 3-like	LOC107372951	LRRC3
XP_015796630.1	phosphatidylinositol 4,5-bisphosphate 5-phosphatase A	inpp5j	INPP5J
XP_015796631.1	poly [ADP-ribose] polymerase 10-like	LOC107372952	PARP10
XP_015796632.1	zinc finger and BTB domain-containing protein 8B	zbtb8b	ZBTB8B
XP_015796632.1	zinc finger and BTB domain-containing protein 8B	zbtb8b	ENSG00000254553
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRX3
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRF
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRX4
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRD
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRX1
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MRGPRX2
XP_015796635.1	chemokine-like receptor 1	LOC107372957	MAS1
XP_015796636.1	DNA-directed RNA polymerase III subunit RPC8	polr3h	POLR3H
XP_015796640.1	carbohydrate deacetylase-like	LOC107372963	YDJC
XP_015796648.1	transmembrane protein 200C-like isoform X1	LOC107372971	TMEM200C
XP_015796650.1	lethal(3)malignant brain tumor-like protein 4	LOC107372972	L3MBTL4
XP_015796652.1	protocadherin beta-15-like	LOC107372974	PCDHB7
XP_015796652.1	protocadherin beta-15-like	LOC107372974	PCDHGB5
XP_015796652.1	protocadherin beta-15-like	LOC107372974	PCDHGB6
XP_015796652.1	protocadherin beta-15-like	LOC107372974	PCDHB15
XP_015796652.1	protocadherin beta-15-like	LOC107372974	PCDHB10
XP_015796654.1	protein Wnt-16	wnt16	WNT16
XP_015796656.1	cadherin-like and PC-esterase domain-containing protein 1	cped1	CPED1
XP_015796664.1	protein-lysine N-methyltransferase EEF2KMT	LOC107372989	FAM86B1
XP_015796664.1	protein-lysine N-methyltransferase EEF2KMT	LOC107372989	FAM86B2
XP_015796664.1	protein-lysine N-methyltransferase EEF2KMT	LOC107372989	EEF2KMT
XP_015796666.1	macrophage mannose receptor 1-like	LOC107372991	KLRC1
XP_015796666.1	macrophage mannose receptor 1-like	LOC107372991	FCER2
XP_015796668.1	solute carrier family 35 member E4 isoform X2	slc35e4	SLC35E4
XP_015796669.1	zinc finger protein 418-like	LOC107372994	ZNF420
XP_015796669.1	zinc finger protein 418-like	LOC107372994	ZNF331
XP_015796673.1	mixed lineage kinase domain-like protein	mlkl	MLKL
XP_015796681.1	ras guanyl-releasing protein 3-like	LOC107373003	RASGRP3
XP_015796682.1	enoyl-CoA delta isomerase 2, mitochondrial isoform X1	eci2	ECI2
XP_015796683.1	enoyl-CoA delta isomerase 2, mitochondrial isoform X2	eci2	ECI2
XP_015796685.1	DNA repair protein XRCC2	xrcc2	XRCC2
XP_015796689.1	somatostatin-1-like	LOC107373010	SST
XP_015796691.1	heat shock protein 30-like	LOC107373012	HSPB9
XP_015796700.1	aromatase-like	LOC107373024	CYP19A1
XP_015796701.1	NF-kappa-B inhibitor-like protein 1	nfkbil1	NFKBIL1
XP_015796704.1	vacuolar protein sorting-associated protein 16 homolog	LOC107373027	VPS16
XP_015796706.1	neurobeachin-like protein 2	LOC107373029	NBEAL2
XP_015796709.1	receptor-type tyrosine-protein phosphatase O	ptpro	PTPRO
XP_015796714.1	apelin receptor B-like	LOC107373040	APLNR
XP_015796715.1	acyl-CoA-binding domain-containing protein 4	acbd4	ACBD4
XP_015796715.1	acyl-CoA-binding domain-containing protein 4	acbd4	ACBD5
XP_015796716.1	coiled-coil domain-containing protein 102A-like	LOC107373046	CCDC102B
XP_015796716.1	coiled-coil domain-containing protein 102A-like	LOC107373046	CCDC102A
XP_015796717.1	protein canopy homolog 2-like	LOC107373048	ENSG00000144785
XP_015796717.1	protein canopy homolog 2-like	LOC107373048	CNPY2
XP_015796718.1	ubiquitin carboxyl-terminal hydrolase 48-like	LOC107373050	USP48
XP_015796719.1	trophoblast glycoprotein-like	LOC107373052	TPBGL
XP_015796725.1	protein very KIND-like	LOC107373061	KNDC1
XP_015796726.1	interferon alpha/beta receptor 1b-like	LOC107373063	IFNGR2
XP_015796726.1	interferon alpha/beta receptor 1b-like	LOC107373063	IFNAR1
XP_015796733.1	src kinase-associated phosphoprotein 2	skap2	SKAP2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10G8
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10J5
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR14C36
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10S1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6T1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5M1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4C46
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10T2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5B12
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10H5
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5B17
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5M10
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10H4
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2B11
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6X1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6S1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6M1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4C11
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR9A4
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10H3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR11H12
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1L8
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1R1P
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR8K3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2T8
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A14
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1E1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2L2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1S1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4F3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR11H1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR14A16
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10H2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1B1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A5
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR8J3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4F21
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1I1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR8J1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5K1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR11L1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5T1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A42
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2L8
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1S2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1C1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR14A2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2L5
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4K5
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A12
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR11G2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5D16
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1N1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2AK2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR13D1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5T3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2T33
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6C2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4F29
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1E2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4P4
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5B21
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5I1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2F1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10H1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR8U1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6C3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR6Y1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2L3
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR10A4
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR5K2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR9A2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2I1P
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2A2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2K2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR2F2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4F16
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4B1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR4E1
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR11H2
XP_015796736.1	olfactory receptor 1-like	LOC107373072	OR1Q1
XP_015796744.1	ras-related protein Rab-26-like	LOC107373080	RAB44
XP_015796748.1	dimethylaniline monooxygenase [N-oxide-forming] 5-like isoform X3	LOC107373082	FMO1
XP_015796748.1	dimethylaniline monooxygenase [N-oxide-forming] 5-like isoform X3	LOC107373082	FMO2
XP_015796751.1	xaa-Pro aminopeptidase 1-like isoform X1	LOC107373086	XPNPEP1
XP_015796752.1	xaa-Pro aminopeptidase 1-like isoform X2	LOC107373086	XPNPEP1
XP_015796753.1	kynurenine 3-monooxygenase-like	LOC107373087	KMO
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	GLIPR1
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	GLIPR1L1
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	GLIPR1L2
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	TCAF1
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	TCAF2
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	TCAF2C
XP_015796761.1	ribonuclease P protein subunit p29-like	LOC107373099	POP4
XP_015796762.1	calsenilin-like isoform X2	LOC107373090	KCNIP3
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	ZSCAN5B
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	ZNF699
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	ZNF564
XP_015796765.1	protein RMD5 homolog B-like	LOC107373103	RMND5B
XP_015796765.1	protein RMD5 homolog B-like	LOC107373103	RMND5A
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM38
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM58
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM17
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIML1
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM26
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM6
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM34
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIML2
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM6-TRIM34
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM10
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM69
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM4
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM39
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM27
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM5
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM21
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	TRIM7
XP_015796775.1	oocyte zinc finger protein XlCOF20-like	LOC107373113	ZNF785
XP_015796776.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373114	ZNF235
XP_015796777.1	serine/threonine-protein phosphatase 6 regulatory subunit 2-like	LOC107373115	PPP6R2
XP_015796782.1	epsin-3-like	LOC107373120	EPN3
XP_015796782.1	epsin-3-like	LOC107373120	EPN2
XP_015796790.1	bone morphogenetic protein 1-like isoform X3	LOC107373116	BMP1
XP_015796794.1	calcitonin-1-like isoform X1	LOC107373131	CALCA
XP_015796797.1	calcitonin gene-related peptide-like isoform X3	LOC107373131	CALCB
XP_015796797.1	calcitonin gene-related peptide-like isoform X3	LOC107373131	CALCA
XP_015796804.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107373142	ZFP57
XP_015796804.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107373142	ZNF649
XP_015796806.1	ubiquinol-cytochrome-c reductase complex assembly factor 2	LOC107373147	UQCC2
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	OR5H6
XP_015796808.1	anthrax toxin receptor 1-like	LOC107373148	ANTXRL
XP_015796810.1	signal transducer and activator of transcription 5B-like	LOC107373153	STAT6
XP_015796810.1	signal transducer and activator of transcription 5B-like	LOC107373153	STAT5B
